url,clicks,unique_clicks,sends,link_text,position
https://www.nytimes.com/2026/01/27/world/asia/china-economy-stimulus.html,245,198,50000,China's stimulus package,1
https://www.nytimes.com/2026/01/27/world/europe/ukraine-drone-attacks.html,312,267,50000,Russian drone strike,2
https://www.nytimes.com/2026/01/27/world/middleeast/gaza-ceasefire-talks.html,189,156,50000,ceasefire negotiations,3
https://www.nytimes.com/2026/01/27/business/markets-fed-rates.html,278,234,50000,What does the Fed decision mean for your wallet?,4
https://www.nytimes.com/2026/01/27/technology/ai-regulation-europe.html,156,132,50000,AI rules,5
https://www.nytimes.com/2026/01/27/world/africa/sudan-conflict-humanitarian.html,89,76,50000,Sudan crisis deepens,6
https://www.nytimes.com/2026/01/27/world/americas/brazil-amazon-fires.html,112,98,50000,Amazon fires,7
https://www.nytimes.com/2026/01/27/science/climate-arctic-ice.html,67,54,50000,Arctic ice levels hit new low,8
https://www.nytimes.com/2026/01/27/world/asia/india-election-modi.html,45,38,50000,Modi's coalition,9
https://www.nytimes.com/2026/01/27/opinion/democracy-test.html,23,19,50000,opinion piece,10
